
Temperature,Hardness,Milk Yield,Milk Color,Pain,Mastitis
40.86,5,1,3,3,1
38.66,2,0,2,2,0
40.39,4,1,3,3,1
40.4,5,1,3,4,1
39.39,2,0,1,0,0
39.2,0,0,0,1,0
39.56,3,1,3,5,1
40.62,5,1,5,3,1
40.32,4,1,4,3,1
38.9,0,0,2,0,0
38.62,1,0,0,1,0
39.28,1,0,0,1,0
39.23,1,0,2,0,0
39.39,2,0,0,2,0
40.92,5,1,4,5,1
40.27,3,1,4,3,1
38.55,2,0,0,2,0
40.63,4,1,5,5,1
40.24,5,1,4,5,1
38.98,1,0,0,0,0
40.24,5,1,3,3,1
40.28,3,1,4,3,1
40.34,3,1,3,4,1
39.01,1,0,2,1,0
38.5,1,0,0,0,0
38.73,2,0,0,2,0
40.04,3,1,4,4,1
40.59,3,1,4,5,1
40.84,4,1,4,3,1
38.99,1,0,1,2,0
40.17,5,1,4,3,1
40.4,3,1,4,5,1
40.39,4,1,5,3,1
40.71,5,1,3,3,1
38.77,1,0,0,1,0
39.34,2,0,0,1,0
38.61,2,0,2,1,0
39.09,0,0,1,0,0
38.55,2,0,0,2,0
38.9,0,0,1,0,0
39.86,3,1,3,3,1
39.97,5,1,5,3,1
39.88,5,1,4,5,1
38.65,1,0,2,0,0
38.77,1,0,1,0,0
39.06,0,0,1,0,0
40.6,4,1,4,5,1
40.64,5,1,3,4,1
39.07,1,0,2,0,0
39.55,3,1,5,5,1
40.81,5,1,4,3,1
40.29,3,1,3,5,1
40.45,4,1,5,4,1
38.74,0,0,2,0,0
40.73,5,1,4,4,1
38.73,1,0,1,2,0
39.24,0,0,2,2,0
38.58,0,0,0,0,0
40.69,5,1,5,5,1
38.95,1,0,1,2,0
38.77,2,0,1,2,0
40.99,3,1,5,5,1
38.89,2,0,1,0,0
39.5,3,1,4,3,1
38.7,2,0,2,2,0
40.01,4,1,4,5,1
40.45,5,1,5,5,1
39.6,3,1,4,3,1
39.51,3,1,4,5,1
39.1,1,0,2,0,0
40.73,3,1,3,4,1
40.71,5,1,5,3,1
40.83,5,1,5,4,1
38.62,2,0,1,0,0
39.66,5,1,3,4,1
40.1,5,1,4,5,1
40.58,4,1,5,5,1
39.92,5,1,3,3,1
38.7,1,0,0,1,0
39.54,3,1,5,3,1
39.31,1,0,0,0,0
38.62,2,0,0,1,0
38.85,2,0,1,0,0
39.24,0,0,1,2,0
40.55,4,1,3,3,1
39.51,3,1,3,5,1
39.65,4,1,5,5,1
39.01,2,0,1,2,0
39.34,0,0,0,0,0
39.27,2,0,2,1,0
40.76,4,1,5,5,1
39.86,5,1,4,4,1
40.22,5,1,5,4,1
39.72,3,1,4,4,1
39.04,2,0,0,2,0
40.5,5,1,4,5,1
39.4,1,0,2,0,0
38.57,1,0,0,2,0
38.7,0,0,2,0,0
38.87,1,0,0,2,0
38.81,1,0,2,0,0
38.52,1,0,1,0,0
39.53,5,1,3,5,1
39.11,0,0,1,1,0
39.29,0,0,0,1,0
40.32,5,1,4,4,1
39.83,3,1,5,5,1
38.73,2,0,1,0,0
39.82,3,1,4,5,1
40.12,4,1,4,3,1
40.64,5,1,4,4,1
38.69,0,0,1,2,0
40.58,5,1,4,5,1
40.8,3,1,3,4,1
39.03,2,0,1,2,0
39.24,1,0,2,2,0
40.33,5,1,4,5,1
40.46,5,1,5,5,1
40.29,5,1,5,3,1
40.19,5,1,5,5,1
39.85,5,1,4,4,1
39.95,4,1,5,3,1
39.34,2,0,2,1,0
38.8,0,0,2,0,0
39.68,4,1,4,3,1
39.38,0,0,0,2,0
39.1,1,0,2,1,0
39.24,2,0,0,2,0
39.74,4,1,5,3,1
39.13,2,0,0,0,0
40.74,4,1,3,4,1
40.58,3,1,4,4,1
38.81,0,0,1,2,0
40.1,3,1,4,4,1
39.65,5,1,5,5,1
38.51,2,0,1,0,0
38.63,0,0,1,2,0
40.57,4,1,4,3,1
39.38,2,0,2,2,0
40.84,3,1,3,3,1
40.37,3,1,5,3,1
39.28,0,0,0,1,0
40.01,3,1,5,5,1
40.91,5,1,5,4,1
39.02,1,0,1,2,0
38.62,0,0,2,2,0
39.34,1,0,1,0,0
38.82,2,0,2,2,0
40.35,4,1,4,4,1
39.1,2,0,0,2,0
40.36,3,1,5,5,1
40.86,3,1,5,5,1
40.91,3,1,3,5,1
40.13,3,1,4,5,1
39.15,1,0,0,1,0
40.9,5,1,5,5,1
40.51,3,1,4,5,1
39.67,4,1,5,4,1
38.97,2,0,2,1,0
39.02,0,0,2,0,0
39.12,1,0,2,0,0
39.18,0,0,0,2,0
40.51,3,1,4,5,1
39.71,5,1,5,3,1
39.88,5,1,5,3,1
38.86,2,0,0,0,0
39.77,5,1,3,5,1
38.86,0,0,1,1,0
39.69,4,1,4,3,1
40.51,4,1,5,4,1
38.6,0,0,1,0,0
38.68,0,0,1,1,0
39.4,2,0,1,2,0
40.45,4,1,3,5,1
41,3,1,4,4,1
39.66,3,1,5,5,1
39.37,0,0,0,2,0
40.08,4,1,3,3,1
40.8,3,1,3,5,1
40.21,3,1,3,4,1
39.14,0,0,0,1,0
40.45,5,1,5,3,1
39.3,1,0,1,0,0
39.12,2,0,0,2,0
38.76,2,0,0,2,0
39.12,2,0,0,0,0
40.33,5,1,5,5,1
39.18,2,0,0,2,0
40.58,3,1,4,5,1
40.06,3,1,4,5,1
38.96,2,0,1,2,0
38.81,0,0,2,2,0
40.47,5,1,4,3,1
40.69,5,1,3,5,1
38.79,1,0,0,1,0
39.2,2,0,2,2,0
40.09,5,1,3,4,1
40.9,4,1,3,4,1
39.23,2,0,2,0,0
40.61,3,1,5,3,1
38.95,2,0,2,1,0
39.36,2,0,0,0,0
38.77,2,0,0,2,0
40.2,4,1,5,3,1
38.89,1,0,0,0,0
39.63,3,1,3,3,1
39.56,5,1,5,4,1
40.5,3,1,4,5,1
39.21,2,0,0,0,0
39.2,2,0,0,0,0
38.7,1,0,0,2,0
39.65,5,1,3,4,1
38.54,1,0,1,0,0
39.86,3,1,3,5,1
38.51,0,0,1,0,0
39.33,0,0,1,2,0
40.56,5,1,4,5,1
38.7,0,0,1,0,0
39.55,3,1,4,3,1
39.18,2,0,2,0,0
38.73,0,0,0,1,0
39.31,1,0,1,2,0
39.02,1,0,2,1,0
40.59,4,1,3,5,1
39.25,1,0,2,2,0
39.56,4,1,5,5,1
39.32,1,0,1,2,0
39.34,1,0,0,2,0
40.18,4,1,4,5,1
39.9,4,1,4,4,1
39.83,5,1,3,3,1
39.7,5,1,3,4,1
40.79,4,1,5,4,1
39.25,2,0,1,0,0
39.61,4,1,4,4,1
38.73,2,0,2,1,0
40.05,3,1,3,4,1
39.77,5,1,5,4,1
40.15,3,1,3,3,1
38.69,0,0,1,0,0
39.05,0,0,2,1,0
40.61,4,1,3,4,1
38.99,0,0,1,1,0
40.46,3,1,5,4,1
40.36,5,1,3,3,1
40.35,4,1,3,5,1
38.92,2,0,1,2,0
38.56,2,0,2,0,0
40.82,4,1,4,5,1
40.51,5,1,3,4,1
39.02,2,0,0,2,0
38.96,0,0,1,2,0
40.41,3,1,3,5,1
39.94,3,1,5,3,1
38.88,0,0,0,2,0
39.73,5,1,5,5,1
40.85,3,1,5,4,1
39.26,0,0,1,1,0
38.99,2,0,2,2,0
40.4,5,1,5,4,1
38.71,1,0,0,0,0
38.65,1,0,0,1,0
40.51,3,1,3,3,1
38.83,0,0,1,1,0
38.71,1,0,1,0,0
38.7,1,0,0,0,0
38.55,0,0,1,2,0
38.52,1,0,1,2,0
40.47,3,1,4,3,1
40.34,3,1,4,5,1
40.67,4,1,4,4,1
38.96,2,0,1,2,0
40.59,5,1,3,3,1
38.88,2,0,1,1,0
40.84,4,1,4,5,1
40.77,5,1,5,3,1
39.97,4,1,3,3,1
38.92,1,0,1,0,0
39.12,2,0,0,2,0
38.7,1,0,0,0,0
38.62,2,0,1,0,0
39.3,0,0,1,2,0
40.46,3,1,5,5,1
40.71,3,1,3,3,1
40.92,4,1,3,3,1
40.01,4,1,3,3,1
40.59,5,1,4,4,1
38.94,0,0,2,2,0
38.7,0,0,2,0,0
40.53,5,1,5,5,1
40.54,3,1,5,5,1
38.59,1,0,2,1,0
40.25,5,1,4,4,1
39.35,2,0,0,1,0
39.36,1,0,0,2,0
40.12,4,1,3,4,1
39.95,3,1,3,5,1
40.64,3,1,4,3,1
40.03,3,1,3,3,1
38.74,1,0,0,0,0
40.94,5,1,5,3,1
40.43,5,1,3,5,1
38.81,1,0,2,1,0
38.78,1,0,2,1,0
40.32,4,1,3,4,1
39.77,5,1,5,3,1
40.19,3,1,4,3,1
40.34,5,1,4,3,1
38.59,0,0,2,1,0
40.22,5,1,3,4,1
39.34,1,0,1,1,0
40.51,3,1,3,3,1
39.71,3,1,3,3,1
38.66,1,0,0,1,0
38.54,2,0,2,2,0
39.02,2,0,2,2,0
40.49,3,1,5,5,1
39.66,5,1,4,3,1
40.45,5,1,5,3,1
40.25,4,1,3,5,1
38.57,1,0,0,0,0
38.87,0,0,2,2,0
40.28,4,1,4,5,1
39.83,5,1,4,4,1
38.58,1,0,0,2,0
40.88,4,1,3,3,1
39.07,1,0,0,1,0
39.39,1,0,1,2,0
38.81,0,0,0,0,0
39.52,5,1,3,5,1
39.16,0,0,0,2,0
38.97,1,0,0,2,0
38.69,2,0,2,2,0
39.2,0,0,0,2,0
38.68,2,0,0,1,0
38.73,1,0,0,1,0
38.58,2,0,1,1,0
38.86,2,0,2,1,0
40.78,3,1,5,5,1
40.66,4,1,3,4,1
39.96,4,1,4,3,1
39.85,5,1,4,3,1
38.62,0,0,0,1,0
40.67,4,1,4,5,1
38.52,2,0,2,1,0
38.63,1,0,1,2,0
39.09,1,0,1,1,0
39.15,0,0,2,2,0
39.21,1,0,1,1,0
40.68,4,1,4,3,1
40.07,3,1,5,4,1
40.33,3,1,5,4,1
40.71,3,1,3,3,1
39.05,0,0,1,2,0
39.39,0,0,2,1,0
39.77,5,1,4,3,1
40.27,5,1,5,4,1
38.95,0,0,1,1,0
38.62,2,0,0,2,0
39.02,0,0,0,0,0
40.1,3,1,4,5,1
38.53,1,0,1,1,0
39.5,5,1,3,5,1
40.85,5,1,5,5,1
39.73,4,1,3,3,1
40.99,5,1,4,5,1
40.93,4,1,4,3,1
39.23,0,0,0,0,0
39.14,2,0,1,1,0
38.72,0,0,2,2,0
39.32,0,0,0,2,0
38.64,2,0,0,2,0
39.06,2,0,1,2,0
38.53,2,0,2,1,0
39.08,2,0,2,0,0
38.75,2,0,2,2,0
38.9,2,0,1,2,0
40.99,4,1,4,5,1
40.08,5,1,3,4,1
39.06,0,0,2,2,0
39.29,0,0,0,0,0
40.77,5,1,4,5,1
40.85,4,1,5,4,1
39.15,2,0,1,2,0
40.96,3,1,4,4,1
38.81,0,0,2,2,0
40.76,3,1,3,4,1
39.12,1,0,1,0,0
39.84,3,1,4,4,1
39.07,1,0,2,1,0
38.89,0,0,1,2,0
38.97,0,0,1,0,0
38.68,1,0,1,2,0
40.15,3,1,5,3,1
40.58,4,1,3,4,1
38.63,1,0,2,2,0
39.29,1,0,1,1,0
38.74,2,0,1,0,0
40.76,4,1,4,5,1
38.84,2,0,1,1,0
38.66,0,0,2,1,0
40.86,4,1,5,4,1
40.77,3,1,4,4,1
40.1,3,1,5,4,1
39.02,0,0,2,0,0
39.04,1,0,1,1,0
39.17,1,0,2,2,0
40.32,3,1,4,5,1
38.99,0,0,1,2,0
39.88,5,1,3,4,1
39.13,2,0,2,0,0
38.55,1,0,1,0,0
39.55,5,1,5,5,1
39.13,0,0,1,2,0
40.05,3,1,3,5,1
39.94,5,1,4,5,1
40.82,4,1,5,5,1
40.19,4,1,5,5,1
39.64,5,1,3,4,1
40.74,4,1,5,3,1
38.5,1,0,2,2,0
39.03,2,0,2,0,0
39.15,2,0,1,0,0
39.06,2,0,2,0,0
40.74,4,1,4,5,1
38.7,1,0,2,0,0
40.19,5,1,4,4,1
39.57,4,1,5,3,1
39.94,4,1,4,4,1
40.9,5,1,5,5,1
40.09,5,1,5,4,1
39.07,1,0,0,2,0
40.3,5,1,4,3,1
38.91,0,0,2,2,0
38.63,2,0,1,1,0
40.04,5,1,4,3,1
38.91,1,0,1,0,0
38.66,1,0,1,1,0
38.77,1,0,2,2,0
38.55,0,0,1,2,0
40.16,3,1,3,5,1
40.82,5,1,4,3,1
39.58,3,1,4,4,1
39.34,1,0,0,0,0
39.97,5,1,5,4,1
40.6,5,1,5,4,1
40.46,5,1,3,4,1
40.12,3,1,3,4,1
38.82,0,0,0,1,0
40.41,4,1,4,5,1
40.84,5,1,3,5,1
40.73,4,1,3,4,1
39.88,4,1,3,4,1
39.91,5,1,3,5,1
39.69,3,1,3,3,1
40.01,5,1,3,4,1
38.93,2,0,0,0,0
39.38,1,0,2,1,0
38.5,0,0,0,1,0
40.64,3,1,5,5,1
40.31,4,1,4,3,1
38.96,0,0,1,1,0
38.52,2,0,0,2,0
40.12,4,1,4,4,1
40.63,3,1,4,5,1
38.98,0,0,1,1,0
39.9,5,1,5,4,1
39.22,1,0,0,2,0
39.9,5,1,5,5,1
40.44,3,1,4,3,1
38.54,1,0,1,0,0
40.04,4,1,5,4,1
40.92,4,1,4,4,1
40.45,4,1,5,4,1
39.69,3,1,4,3,1
40.34,3,1,5,4,1
38.77,0,0,0,1,0
38.74,0,0,1,1,0
39.76,3,1,3,3,1
40.96,5,1,5,3,1
38.87,1,0,2,1,0
39.74,4,1,5,5,1
39.09,0,0,1,1,0
39.17,0,0,0,2,0
38.53,0,0,1,1,0
39.68,4,1,3,3,1
39.69,4,1,4,3,1
39.31,0,0,0,1,0
40.02,3,1,3,3,1
38.62,1,0,0,2,0
38.6,2,0,2,2,0
39.26,0,0,2,0,0
39.82,5,1,4,4,1
40.5,3,1,5,4,1
38.53,1,0,2,1,0
38.57,0,0,1,0,0
40.65,3,1,5,5,1
39.12,0,0,1,0,0
38.81,0,0,1,1,0
38.69,0,0,1,1,0
39.97,5,1,3,4,1
40.22,3,1,5,5,1
38.99,0,0,0,1,0
39.37,0,0,0,0,0
38.63,0,0,1,0,0
39.52,3,1,3,4,1
38.66,1,0,2,1,0
39.69,5,1,4,3,1
38.84,1,0,0,0,0
40.42,5,1,3,3,1
40.76,4,1,4,3,1
38.86,1,0,2,2,0
39.38,0,0,2,0,0
38.98,0,0,2,2,0
38.95,2,0,0,1,0
40.3,3,1,3,5,1
40.31,5,1,3,5,1
38.51,1,0,2,2,0
39.96,3,1,5,5,1
40.22,5,1,3,5,1
38.81,0,0,1,0,0
39.36,0,0,0,2,0
40.57,4,1,5,3,1
39.14,1,0,0,0,0
39.84,5,1,5,5,1
39.1,1,0,2,2,0
40.71,3,1,3,5,1
39.19,2,0,2,2,0
40.44,3,1,5,5,1
39.97,5,1,3,4,1
40.72,3,1,4,4,1
40.25,5,1,4,3,1
39.61,3,1,4,3,1
39.97,5,1,5,4,1
40.9,5,1,3,5,1
38.58,1,0,2,1,0
40.97,3,1,4,4,1
39.19,2,0,2,2,0
39.87,3,1,4,4,1
38.74,1,0,1,2,0
39.78,5,1,4,3,1
38.61,0,0,0,1,0
39.06,2,0,1,2,0
39.79,5,1,3,5,1
40.12,4,1,4,4,1
40.9,5,1,4,5,1
40.15,3,1,5,5,1
40.82,4,1,3,5,1
40.41,5,1,5,3,1
39.87,5,1,3,4,1
40.03,4,1,3,4,1
39.63,3,1,3,5,1
40,4,1,5,5,1
39.37,1,0,1,1,0
39.33,2,0,0,2,0
39.81,4,1,5,5,1
40.07,5,1,4,4,1
40.97,4,1,5,4,1
40.68,3,1,5,3,1
40.6,3,1,4,5,1
39.67,3,1,4,5,1
39.36,1,0,2,2,0
40.68,3,1,3,3,1
40.4,4,1,3,5,1
40.99,3,1,4,4,1
39.99,3,1,3,5,1
38.79,2,0,2,1,0
40.87,3,1,3,4,1
39.52,5,1,5,4,1
38.85,2,0,1,1,0
38.88,1,0,0,1,0
38.54,2,0,1,0,0
40.32,4,1,4,3,1
38.91,0,0,1,2,0
40.33,4,1,3,5,1
38.91,1,0,0,2,0
40.37,4,1,5,5,1
39.02,2,0,2,0,0
38.57,2,0,0,2,0
38.67,1,0,0,1,0
40.41,4,1,3,4,1
40.28,5,1,3,3,1
40.61,4,1,3,5,1
40.45,4,1,3,4,1
39.03,2,0,2,0,0
39.22,2,0,0,0,0
39.72,3,1,4,4,1
40.39,3,1,4,3,1
38.8,1,0,2,2,0
38.55,1,0,2,0,0
39,1,0,1,1,0
40.15,3,1,4,5,1
39.34,1,0,2,0,0
39.15,0,0,0,1,0
39.64,5,1,5,4,1
40.33,3,1,4,3,1
39.04,0,0,2,1,0
38.97,0,0,0,0,0
39,2,0,2,0,0
40.35,3,1,5,5,1
40.18,4,1,5,4,1
38.6,1,0,0,2,0
40.38,4,1,3,5,1
38.65,2,0,2,0,0
38.9,1,0,0,0,0
38.69,2,0,0,1,0
39.12,0,0,1,0,0
39.29,2,0,1,0,0
40.17,3,1,5,3,1
40.42,5,1,3,3,1
38.77,0,0,2,2,0
40.91,5,1,5,5,1
39.51,4,1,4,3,1
40.66,4,1,4,4,1
38.67,0,0,2,1,0
40.06,4,1,3,4,1
39.58,4,1,4,3,1
40.44,3,1,3,4,1
38.57,1,0,0,2,0
39.1,0,0,1,0,0
40.31,3,1,4,4,1
40.91,5,1,4,3,1
38.76,0,0,1,0,0
40.59,5,1,4,5,1
39.35,0,0,1,0,0
40.61,4,1,4,5,1
39.82,3,1,5,5,1
38.92,1,0,0,2,0
40.25,3,1,5,5,1
40.61,5,1,4,5,1
39.99,5,1,3,4,1
40.84,5,1,5,3,1
38.89,1,0,2,2,0
40.71,3,1,5,5,1
38.75,2,0,2,2,0
40.73,4,1,4,3,1
38.97,2,0,1,0,0
38.71,1,0,1,2,0
38.61,0,0,2,2,0
39.84,4,1,4,5,1
39.02,1,0,1,2,0
39.16,0,0,2,0,0
40.55,3,1,5,3,1
38.53,0,0,1,1,0
38.61,0,0,2,1,0
40.73,3,1,5,4,1
39.58,5,1,5,4,1
40.87,5,1,3,5,1
38.53,1,0,0,2,0
39.16,2,0,1,2,0
39.52,4,1,5,4,1
38.68,1,0,1,2,0
40.87,3,1,5,4,1
40.03,5,1,4,3,1
40.14,5,1,4,5,1
39.28,0,0,2,2,0
40.4,3,1,5,3,1
40.39,4,1,5,4,1
40.06,3,1,5,3,1
40,3,1,3,3,1
39.1,2,0,0,2,0
38.68,1,0,2,0,0
40.24,4,1,5,4,1
38.68,1,0,0,1,0
38.78,1,0,0,1,0
40.1,3,1,4,5,1
40.27,4,1,5,3,1
39.88,4,1,5,3,1
40.98,3,1,5,5,1
39.94,5,1,4,5,1
38.98,1,0,0,2,0
38.92,1,0,1,2,0
39.38,0,0,2,1,0
39.17,0,0,0,0,0
38.61,2,0,2,1,0
39.18,2,0,0,2,0
40.87,3,1,3,4,1
38.52,2,0,1,1,0
38.86,1,0,0,1,0
40.68,3,1,5,5,1
38.66,0,0,0,1,0
40.81,3,1,3,5,1
38.66,1,0,1,0,0
40.75,4,1,5,5,1
40.25,4,1,3,5,1
40.3,5,1,5,5,1
38.68,2,0,2,1,0
39.17,2,0,1,1,0
40.13,5,1,5,5,1
39.1,0,0,2,1,0
40.68,3,1,5,5,1
39.33,0,0,0,1,0
39.8,5,1,3,5,1
40.39,5,1,3,5,1
40.11,4,1,3,4,1
38.56,0,0,2,1,0
38.91,1,0,2,2,0
38.68,1,0,0,1,0
39.01,1,0,2,2,0
39.08,2,0,0,2,0
39.52,4,1,3,3,1
40.11,3,1,5,5,1
40.89,5,1,4,5,1
38.83,0,0,0,2,0
38.64,1,0,0,0,0
40.68,3,1,4,5,1
38.51,2,0,0,2,0
39.29,2,0,0,0,0
39.01,0,0,2,0,0
38.8,2,0,1,0,0
40.17,3,1,3,3,1
38.96,0,0,1,1,0
39.51,4,1,5,5,1
38.6,2,0,2,0,0
40.16,5,1,3,4,1
38.72,0,0,0,2,0
39.88,4,1,4,5,1
40.61,5,1,4,4,1
38.58,0,0,0,1,0
38.73,0,0,2,0,0
40.74,5,1,5,4,1
